
Generation,S37 Beneficial,S37 Detrimental,S37 Fitness
120,397.61,294.96,1.3485831898377645
121,398.41,294.47,1.3534696929198904
122,398.97,293.74,1.3588170995159081
123,400.03,293.39,1.3640499775715875
124,400.1,293.0,1.3661543473348032
125,400.29,292.46,1.3692810978085026
126,401.17,292.98,1.3698148312553022
127,400.78,292.68,1.3699060700285477
128,401.37,292.77,1.3715545112439478
129,400.49,292.13,1.3715247300158042
130,399.86,291.55,1.3720014715924214
131,399.67,290.96,1.3741098008018025
132,400.17,290.78,1.3766604072757618
133,399.84,290.26,1.3778972005771533
134,401.06,289.79,1.3843752970424332
135,400.68,289.27,1.3855725791683409
136,400.74,288.86,1.387801890407865
137,400.8,288.42,1.3900683719603872
138,400.84,287.73,1.3935004208312842
139,400.53,288.26,1.3898095489047788
140,400.57,288.79,1.3874368267624015
141,399.6,288.01,1.3877905813548894
142,399.56,288.77,1.3841482377676666
143,399.61,288.51,1.3855154594573327
144,399.65,287.94,1.3883048985025093
145,399.77,288.16,1.3876063267042051
146,399.96,288.29,1.3877210464155043
147,399.99,288.65,1.386206376684601
148,399.87,288.15,1.3881613774848094
149,399.78,288.47,1.386363642132921
150,399.91,288.4,1.3871168610944387
151,399.53,288.1,1.3872383390583067
152,400.16,288.23,1.3888040423838475
153,400.75,288.49,1.3896791922519327
154,400.5,287.91,1.3915213379616862
155,400.9,287.99,1.3925361366023887
156,400.74,288.22,1.3909567701678076
157,401.9,288.67,1.3928258101772117
158,402.17,287.97,1.3970374942559372
159,402.79,288.11,1.3984811320420605
160,402.74,288.29,1.3974316041309112
161,402.86,288.45,1.3970453458133607
162,403.2,288.85,1.3962982037394338
163,403.36,288.6,1.3980639096964365
164,403.5,287.74,1.4028446012646723
165,403.41,287.4,1.4040454444063153
166,403.51,287.27,1.404982189356529
167,403.35,287.08,1.4052932703663337
168,404.22,287.1,1.4081779998382424
169,404.11,286.94,1.4087229283670621
170,404.03,287.26,1.4068884364804766
171,404.11,287.57,1.405762803704234
172,404.17,287.75,1.4050719883071634
173,404.42,287.98,1.4048583162964818
174,403.83,287.92,1.4030409969566608
175,403.78,287.71,1.4039503693607644
176,403.77,287.65,1.4042845871805139
177,403.73,287.14,1.406785147036854
178,403.56,286.79,1.4079237674021865
179,403.96,286.14,1.4126601466635287
180,404.47,285.98,1.415398176010491
181,405.75,286.42,1.4176704225877217
182,406.11,286.5,1.4185104688457815
183,406.61,286.27,1.4213590302059027
184,406.61,286.39,1.4206920579804088
185,406.74,286.18,1.4221288563702603
186,406.81,285.59,1.4254228285509383
187,406.63,284.6,1.4296050950175627
188,407.16,284.55,1.4317180868609996
189,407.92,284.16,1.4363151581645928
190,407.43,283.95,1.4355457201995918
191,407.23,283.81,1.435479524671682
192,407.63,283.75,1.4371592922798806
193,407.53,283.84,1.4363534215775187
194,407.96,283.3,1.440680492666192
195,408.15,282.9,1.4434519506485983
196,408.31,282.88,1.4441603482504868
197,408.3,282.73,1.4449221364619922
198,408.22,283.21,1.44217952945192
199,408.09,282.77,1.4440504888495362
200,408.36,282.62,1.4457268147529054
201,408.73,282.48,1.4478376358578076
202,409.12,282.39,1.4497521033359237
203,409.06,282.09,1.4508641407305836
204,409.88,281.61,1.4562704478207222
205,410.99,281.3,1.4618985151591932
206,411.28,281.24,1.4633304236245863
207,411.02,280.65,1.4654598763096969
208,411.21,280.47,1.4670655881901886
209,410.41,280.52,1.463827458926482
210,411.01,280.67,1.4650243653151318
211,411.75,281.0,1.4660278931806108
212,412.18,281.19,1.4665660350555982
213,412.15,280.87,1.468081326041069
214,411.85,281.04,1.4661009399172138
215,411.84,281.65,1.4628999937727967
216,411.8,281.29,1.4647978479304529
217,411.27,280.94,1.4646725264003413
218,411.16,280.3,1.4674634879873993
219,411.2,280.19,1.468191680916733
220,411.4,280.16,1.4690655613194152
221,411.29,279.83,1.4703612442917886
222,411.11,280.19,1.4678288460855193
223,410.5,279.29,1.4704159949172038
224,410.4,279.56,1.468542186326893
225,410.74,280.01,1.4674378828871166
226,410.93,279.74,1.469502845075807
227,410.94,279.43,1.471218018556381
228,411.38,279.43,1.4727091511152677
229,411.86,279.82,1.4722269819585534
230,412.2,280.01,1.4723327085363325
231,412.63,279.78,1.4751269038508839
232,412.37,279.87,1.4737781914983068
233,412.0,279.63,1.4738481478447523
234,411.62,279.4,1.4737008130675113
235,412.01,279.29,1.4756723316308193
236,412.1,279.48,1.4750942429984943
237,411.96,279.67,1.4736767051606976
238,411.7,280.05,1.470656470677978
239,410.77,280.06,1.4671363149872179
240,411.49,280.57,1.4671480259188132
241,411.03,281.24,1.4619732223745296
242,410.71,281.48,1.4595738394875448
243,410.56,281.51,1.458926046461943
244,410.86,281.65,1.459238603753324
245,411.07,281.96,1.4584620788936133
246,411.15,282.03,1.4582605842248773
247,411.25,282.09,1.4583684532962038
248,411.81,282.25,1.4595759993820123
249,411.73,281.77,1.4617918294249057
250,412.36,281.64,1.4646514943257194
251,412.63,281.63,1.4656600710815297
252,413.14,281.88,1.466290461575627
253,413.75,281.69,1.4694903074428702
254,413.92,280.65,1.4755450768587386
255,414.28,280.79,1.4761299102257484
